cgpa,backlogs,certifications,aptitude,coding,communication,projects,hackathon,resume,branch,placement_readiness,company_fit
6.87,2,5,41,41,57,4,1,4,5,0,Not Eligible
9.75,2,4,62,74,90,6,1,5,5,1,Tier 1
8.66,3,1,83,53,47,4,1,8,2,1,Tier 1
7.99,2,9,91,96,94,3,1,4,5,1,Tier 2
5.78,4,6,85,86,51,1,1,5,2,0,Not Eligible
5.78,2,5,58,84,82,6,1,7,1,0,Not Eligible
5.29,4,8,63,80,98,0,0,3,1,0,Not Eligible
9.33,2,9,59,41,69,7,0,6,4,1,Tier 1
8.01,4,4,86,58,98,7,0,9,0,1,Tier 1
8.54,2,8,66,55,48,7,1,4,1,1,Tier 1
5.1,2,8,91,82,67,0,0,4,2,0,Not Eligible
9.85,1,0,63,83,43,4,0,6,5,1,Tier 1
9.16,4,4,56,64,78,5,0,6,5,1,Tier 1
6.06,4,8,64,40,56,2,0,3,0,0,Not Eligible
5.91,4,6,85,41,50,3,0,1,1,0,Not Eligible
5.92,0,5,94,87,98,1,0,3,4,0,Not Eligible
6.52,2,5,70,66,41,4,0,8,4,0,Not Eligible
7.62,4,6,67,41,62,5,1,8,4,1,Tier 2
7.16,0,0,89,97,89,3,0,6,4,1,Tier 2
6.46,1,3,98,69,61,7,0,7,5,0,Not Eligible
8.06,4,0,67,90,65,5,1,2,5,1,Tier 1
5.7,4,5,61,49,51,3,0,9,5,0,Not Eligible
6.46,0,3,95,58,71,4,1,3,2,0,Not Eligible
6.83,2,0,98,81,48,3,0,2,4,0,Not Eligible
7.28,1,8,44,55,82,6,1,5,3,1,Tier 2
8.93,4,3,93,52,44,2,0,1,5,1,Tier 1
6.0,2,5,83,87,65,3,0,5,4,0,Not Eligible
7.57,1,6,81,89,46,1,0,10,1,1,Tier 2
7.96,3,7,47,95,68,3,0,4,0,1,Tier 2
5.23,3,8,77,47,72,6,0,6,5,0,Not Eligible
8.04,1,8,67,95,63,0,1,5,5,1,Tier 1
5.85,0,7,96,89,64,6,0,9,1,0,Not Eligible
5.33,1,9,86,70,70,3,1,5,0,0,Not Eligible
9.74,1,2,51,84,68,7,0,8,2,1,Tier 1
9.83,0,1,96,64,44,5,0,2,5,1,Tier 1
9.04,0,4,64,98,77,7,0,3,0,1,Tier 1
6.52,2,0,77,78,84,7,1,3,3,0,Not Eligible
5.49,2,2,83,99,50,4,1,3,5,0,Not Eligible
8.42,0,0,54,60,71,0,1,6,4,1,Tier 1
7.2,3,2,83,94,47,4,1,7,1,1,Tier 2
5.61,3,3,80,95,59,5,1,7,0,0,Not Eligible
7.48,1,6,90,96,73,1,0,7,1,1,Tier 2
5.17,4,4,92,89,86,2,0,3,4,0,Not Eligible
9.55,1,4,73,77,81,1,1,1,2,1,Tier 1
6.29,1,0,99,80,47,0,1,6,4,0,Not Eligible
8.31,4,7,84,68,41,5,0,3,2,1,Tier 1
6.56,0,3,52,45,60,7,0,3,1,0,Not Eligible
7.6,3,9,47,57,54,5,1,3,2,1,Tier 2
7.73,1,4,98,88,45,7,1,9,5,1,Tier 2
5.92,4,1,52,83,44,2,0,4,2,0,Not Eligible
9.85,2,0,75,74,93,3,1,5,2,1,Tier 1
8.88,1,8,45,66,93,0,0,3,5,1,Tier 1
9.7,3,1,77,44,42,2,1,10,2,1,Tier 1
9.47,0,5,71,46,82,6,1,1,5,1,Tier 1
7.99,1,0,60,49,82,6,0,4,5,1,Tier 2
9.61,1,0,83,49,55,4,0,1,2,1,Tier 1
5.44,4,8,83,90,74,7,1,7,5,0,Not Eligible
5.98,2,3,88,96,48,2,0,7,0,0,Not Eligible
5.23,2,8,98,97,74,4,1,4,2,0,Not Eligible
6.63,0,4,46,67,58,6,1,5,2,0,Not Eligible
6.94,3,6,65,75,82,6,0,10,4,0,Not Eligible
6.36,0,0,54,49,85,4,0,7,4,0,Not Eligible
9.14,1,5,95,89,73,5,0,6,4,1,Tier 1
6.78,1,7,88,74,78,2,1,4,2,0,Not Eligible
6.4,2,0,81,92,49,5,0,4,4,0,Not Eligible
7.71,3,8,62,74,49,6,0,2,0,1,Tier 2
5.7,4,2,91,76,59,5,0,10,1,0,Not Eligible
9.01,3,0,77,87,40,7,1,2,4,1,Tier 1
5.37,1,0,80,59,45,1,0,4,5,0,Not Eligible
9.93,4,5,54,52,92,1,0,5,4,1,Tier 1
8.86,3,5,87,50,85,5,0,4,0,1,Tier 1
5.99,3,0,92,97,98,5,0,3,5,0,Not Eligible
5.03,4,2,79,84,41,7,1,2,5,0,Not Eligible
9.08,1,6,55,58,77,4,1,4,5,1,Tier 1
8.53,3,9,71,67,72,5,1,5,5,1,Tier 1
8.65,4,2,76,77,42,0,1,1,3,1,Tier 1
8.86,1,2,57,95,75,2,0,1,3,1,Tier 1
5.37,4,2,59,84,52,0,1,6,5,0,Not Eligible
6.79,4,6,85,99,74,1,0,5,5,0,Not Eligible
5.58,3,3,41,43,54,0,1,4,5,0,Not Eligible
9.32,1,3,94,96,84,3,0,1,0,1,Tier 1
8.12,3,2,62,93,61,3,0,7,4,1,Tier 1
6.65,0,9,69,76,82,1,0,4,1,0,Not Eligible
5.32,0,8,42,58,43,0,1,3,5,0,Not Eligible
6.55,1,1,85,76,56,2,1,7,4,0,Not Eligible
6.63,4,3,78,92,44,7,1,2,0,0,Not Eligible
8.65,3,7,86,53,60,1,0,10,0,1,Tier 1
8.19,3,5,88,70,96,3,1,1,5,1,Tier 1
9.44,1,6,40,67,63,1,0,4,2,1,Tier 1
